platform,date,mentions
google_reviews,2025-07-23,4
google_reviews,2025-07-24,13
google_reviews,2025-07-25,9
google_reviews,2025-07-26,7
google_reviews,2025-07-27,7
google_reviews,2025-07-28,6
google_reviews,2025-07-29,9
google_reviews,2025-07-30,8
google_reviews,2025-07-31,6
google_reviews,2025-08-01,3
google_reviews,2025-08-02,12
google_reviews,2025-08-03,10
google_reviews,2025-08-04,4
google_reviews,2025-08-05,4
google_reviews,2025-08-06,8
google_reviews,2025-08-08,4
google_reviews,2025-08-09,12
google_reviews,2025-08-10,4
google_reviews,2025-08-11,2
google_reviews,2025-08-12,12
google_reviews,2025-08-13,4
google_reviews,2025-08-14,8
google_reviews,2025-08-15,4
google_reviews,2025-08-16,12
google_reviews,2025-08-17,4
google_reviews,2025-08-18,6
google_reviews,2025-08-19,5
google_reviews,2025-08-20,3
google_reviews,2025-08-21,9
google_reviews,2025-08-22,14
google_reviews,2025-08-23,14
google_reviews,2025-08-24,4
google_reviews,2025-08-25,1
google_reviews,2025-08-26,3
instagram,2013-06-28,1
instagram,2013-07-13,1
instagram,2013-08-09,1
instagram,2013-09-03,1
instagram,2014-02-23,1
instagram,2014-04-28,1
instagram,2014-08-29,1
instagram,2014-10-15,1
instagram,2015-04-04,1
instagram,2015-04-08,1
instagram,2015-04-11,1
instagram,2015-05-07,1
instagram,2015-05-09,1
instagram,2015-06-13,1
instagram,2015-07-01,1
instagram,2015-07-09,1
instagram,2015-07-31,1
instagram,2015-08-15,1
instagram,2015-10-07,1
instagram,2015-10-16,1
instagram,2015-11-11,1
instagram,2015-11-22,1
instagram,2015-12-01,1
instagram,2015-12-27,1
instagram,2016-01-03,1
instagram,2016-01-04,1
instagram,2016-01-06,1
instagram,2016-01-13,1
instagram,2016-01-24,1
instagram,2016-02-03,1
instagram,2016-02-09,1
instagram,2016-02-23,1
instagram,2016-02-26,1
instagram,2016-03-03,1
instagram,2016-03-21,3
instagram,2016-03-27,1
instagram,2016-05-02,2
instagram,2016-06-14,1
instagram,2016-07-09,1
instagram,2016-07-23,1
instagram,2016-08-05,1
instagram,2016-08-13,1
instagram,2016-08-16,1
instagram,2016-08-21,1
instagram,2016-08-23,1
instagram,2016-08-26,1
instagram,2016-08-28,1
instagram,2016-08-31,1
instagram,2016-09-02,1
