date,mentions,ma,sd,z,is_peak
2016-09-04,4,1.2857142857142858,0.7953949089757174,3.412500738508723,True
2016-09-05,1,1.2857142857142858,0.7953949089757174,-0.35921060405354993,False
2016-09-07,1,1.2857142857142858,0.7953949089757174,-0.35921060405354993,False
2016-09-08,1,1.2857142857142858,0.7953949089757174,-0.35921060405354993,False
2016-09-09,1,1.2857142857142858,0.7953949089757174,-0.35921060405354993,False
2016-09-10,2,1.3571428571428572,0.8112726208286106,0.7924058156930612,False
2016-09-11,1,1.3571428571428572,0.8112726208286106,-0.4402254531628119,False
2016-09-12,1,1.3571428571428572,0.8112726208286106,-0.4402254531628119,False
2016-09-14,2,1.4285714285714286,0.82065180664829,0.6963106238227912,False
2016-09-16,1,1.4285714285714286,0.82065180664829,-0.5222329678670935,False
2016-09-18,1,1.4285714285714286,0.82065180664829,-0.5222329678670935,False
2016-09-19,1,1.4285714285714286,0.82065180664829,-0.5222329678670935,False
2016-09-22,1,1.4285714285714286,0.82065180664829,-0.5222329678670935,False
2016-09-25,1,1.3571428571428572,0.8112726208286106,-0.4402254531628119,False
2016-09-27,2,1.2142857142857142,0.41032590332414487,1.9148542155126766,False
2016-09-30,3,1.3571428571428572,0.6102859818083951,2.691946385511003,True
2016-10-01,1,1.3571428571428572,0.6102859818083951,-0.585205735980653,False
2016-10-05,1,1.3571428571428572,0.6102859818083951,-0.585205735980653,False
2016-10-07,2,1.4285714285714286,0.6226998490772392,0.9176629354822469,False
2016-10-08,7,1.7857142857142858,1.5665508713900935,3.3285134938891385,True
2016-10-11,2,1.8571428571428572,1.5518257844571737,0.09205746178983229,False
2016-10-19,2,1.9285714285714286,1.533636468113135,0.04657464328326221,False
2016-10-24,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-10-25,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-11-07,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-11-11,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-11-12,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-11-13,1,1.8571428571428572,1.5518257844571737,-0.552344770738994,False
2016-11-18,1,1.7857142857142858,1.5665508713900935,-0.5015568278463086,False
2016-11-19,2,1.7142857142857142,1.5319721849662298,0.18650096164806282,False
2016-11-30,1,1.7142857142857142,1.5319721849662298,-0.46625240412015684,False
2016-12-03,1,1.7142857142857142,1.5319721849662298,-0.46625240412015684,False
2016-12-05,3,1.7857142857142858,1.5665508713900935,0.7751332793988404,False
2016-12-16,1,1.3571428571428572,0.6102859818083956,-0.5852057359806525,False
2016-12-18,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2016-12-28,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2016-12-30,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-01-24,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-01-27,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-02-25,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-02-26,2,1.2857142857142858,0.589015089373952,1.2126781251816638,False
2017-03-08,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2017-03-09,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2017-03-11,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-03-12,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-03-15,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-03-28,2,1.1428571428571428,0.3499271061118833,2.449489742783173,False
2017-03-29,3,1.2857142857142858,0.589015089373952,2.9104275004359934,True
2017-03-30,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2017-03-31,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2017-04-01,1,1.2857142857142858,0.589015089373952,-0.4850712500726657,False
2017-04-03,3,1.4285714285714286,0.7284313590846839,2.157277486520023,False
2017-04-05,2,1.5,0.7319250547114002,0.6831300510639728,False
2017-04-06,1,1.5,0.7319250547114002,-0.6831300510639728,False
2017-04-07,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-04-09,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-04-17,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
