date,mentions,ma,sd,z,is_peak
2021-04-30,1,2.2142857142857144,1.2058530725810086,-1.0069930921904577,False
2021-05-01,1,2.0,1.133893419027681,-0.8819171036881973,False
2021-05-02,2,1.8571428571428572,0.9897433186107861,0.14433756729740652,False
2021-05-03,3,2.0,0.9999999999999991,1.0000000000000009,False
2021-05-04,3,2.142857142857143,0.9897433186107861,0.8660254037844395,False
2021-05-05,2,2.2142857142857144,0.9394961741404209,-0.22808577638091201,False
2021-05-06,1,2.0714285714285716,0.9609731462195498,-1.1149412193707509,False
2021-05-08,2,2.0714285714285716,0.9609731462195498,-0.0743294146247169,False
2021-05-09,4,2.2857142857142856,1.0301575072754245,1.664100588675689,False
2021-05-10,2,2.142857142857143,0.9147320339189774,-0.15617376188860616,False
2021-05-11,1,2.0,0.9258200997725506,-1.0801234497346444,False
2021-05-12,1,1.8571428571428572,0.9147320339189776,-0.9370425713316373,False
2021-05-13,4,2.0,1.0690449676496967,1.8708286933869722,False
2021-05-15,4,2.2142857142857144,1.1450871101343847,1.5594571538795143,False
2021-05-18,1,2.2142857142857144,1.1450871101343847,-1.06043086463807,False
2021-05-19,3,2.357142857142857,1.108869621161429,0.5797409637607484,False
2021-05-20,1,2.2857142857142856,1.1605769149479932,-1.1078234188139955,False
2021-05-21,1,2.142857142857143,1.1866605518454383,-0.9630868246861544,False
2021-05-22,2,2.0714285714285716,1.1627728997214068,-0.06142951168339532,False
2021-05-23,4,2.2142857142857144,1.263700429496723,1.4130835473605545,False
2021-05-25,1,2.2142857142857144,1.263700429496723,-0.9608968122051773,False
2021-05-26,1,2.142857142857143,1.3014905113063275,-0.8781140799175233,False
2021-05-27,2,2.0,1.195228609334393,0.0,False
2021-05-28,2,2.0,1.195228609334393,0.0,False
2021-05-29,2,2.0714285714285716,1.1627728997214066,-0.06142951168339533,False
2021-06-02,1,2.0714285714285716,1.1627728997214066,-0.9214426752509277,False
2021-06-03,2,1.9285714285714286,1.0326308782000677,0.0691714463866075,False
2021-06-04,1,1.7142857142857142,0.8806305718527102,-0.8111071056538133,False
2021-06-05,2,1.7857142857142858,0.8601138984851632,0.24913643956122003,False
2021-06-06,1,1.6428571428571428,0.81127262082861,-0.7924058156930619,False
2021-06-07,2,1.7142857142857142,0.7953949089757167,0.3592106040535502,False
2021-06-09,3,1.8571428571428572,0.8329931278350421,1.3719886811400719,False
2021-06-10,1,1.7857142857142858,0.8601138984851632,-0.9135002783911406,False
2021-06-11,1,1.5714285714285714,0.6226998490772384,-0.917662935482248,False
2021-06-12,2,1.6428571428571428,0.6102859818083942,0.5852057359806537,False
2021-06-13,2,1.7142857142857142,0.5890150893739504,0.485071250072667,False
2021-06-14,1,1.6428571428571428,0.6102859818083942,-1.0533703247651764,False
2021-06-15,2,1.6428571428571428,0.6102859818083942,0.5852057359806537,False
2021-06-18,1,1.5714285714285714,0.6226998490772384,-0.917662935482248,False
2021-06-19,2,1.6428571428571428,0.6102859818083942,0.5852057359806537,False
2021-06-20,3,1.7142857142857142,0.6998542122237643,1.8371173070873859,False
2021-06-21,2,1.7857142857142858,0.6738557951468992,0.31799936400190837,False
2021-06-23,2,1.7857142857142858,0.6738557951468992,0.31799936400190837,False
2021-06-24,1,1.7857142857142858,0.6738557951468992,-1.165997668006998,False
2021-06-25,1,1.7142857142857142,0.6998542122237643,-1.0206207261596587,False
2021-06-26,2,1.6428571428571428,0.6102859818083942,0.5852057359806537,False
2021-06-27,2,1.7142857142857142,0.5890150893739504,0.485071250072667,False
2021-06-28,1,1.7142857142857142,0.5890150893739504,-1.212678125181667,False
2021-06-30,2,1.7142857142857142,0.5890150893739504,0.485071250072667,False
2021-07-01,1,1.6428571428571428,0.6102859818083942,-1.0533703247651764,False
2021-07-02,1,1.6428571428571428,0.6102859818083942,-1.0533703247651764,False
2021-07-03,1,1.5714285714285714,0.6226998490772384,-0.917662935482248,False
2021-07-04,2,1.6428571428571428,0.6102859818083942,0.5852057359806537,False
2021-07-05,3,1.7142857142857142,0.6998542122237643,1.8371173070873859,False
2021-07-06,1,1.5714285714285714,0.6226998490772384,-0.917662935482248,False
2021-07-07,5,1.7857142857142858,1.0809104250301105,2.973683702047906,True
2021-07-08,3,1.8571428571428572,1.1248582677159724,1.0160010160015245,False
2021-07-09,1,1.8571428571428572,1.1248582677159724,-0.7620007620011434,False
2021-07-10,2,1.9285714285714286,1.0996288798814744,0.0649569802461631,False
2021-07-11,1,1.8571428571428572,1.1248582677159724,-0.7620007620011434,False
2021-07-15,1,1.7857142857142858,1.145087110134385,-0.6861611477069863,False
2021-07-16,2,1.8571428571428572,1.1248582677159724,0.1270001270001905,False
2021-07-18,1,1.7857142857142858,1.145087110134385,-0.6861611477069863,False
2021-07-19,3,1.9285714285714286,1.1627728997214068,0.9214426752509274,False
2021-07-22,1,1.9285714285714286,1.1627728997214068,-0.798583651884137,False
2021-07-23,1,1.9285714285714286,1.1627728997214068,-0.798583651884137,False
2021-07-24,2,1.9285714285714286,1.1627728997214068,0.06142951168339513,False
2021-07-25,1,1.7857142857142858,1.145087110134385,-0.6861611477069863,False
2021-07-27,3,1.9285714285714286,1.1627728997214068,0.9214426752509274,False
