week,sov_honda,mentions_total,mentions_instagram,mentions_youtube,views_sum,reviews,avg_rating,pos_share,product_cover_share
2025-05-05,0.9066666666666666,537,57.0,480.0,0,,,,0.4117647058823529
2025-05-12,0.6989247311827957,970,46.0,924.0,0,,,,0.16923076923076924
2025-05-19,0.797979797979798,982,32.0,950.0,0,,,,0.3670886075949367
2025-05-26,0.7840909090909091,608,33.0,575.0,0,,,,0.2753623188405797
2025-06-02,0.8743718592964824,1248,69.0,1179.0,0,,,,0.16666666666666666
2025-06-09,0.8129032258064516,1435,66.0,1369.0,0,,,,0.3333333333333333
2025-06-16,0.6914893617021277,1015,51.0,964.0,0,,,,0.35384615384615387
2025-06-23,0.7984496124031008,1042,103.0,939.0,0,,,,0.3300970873786408
2025-06-30,0.7945205479452054,953,91.0,862.0,0,,,,0.23275862068965517
2025-07-07,0.898989898989899,799,107.0,692.0,0,,,,0.4157303370786517
2025-07-14,0.9534883720930233,817,121.0,696.0,0,,,,0.34146341463414637
2025-07-21,0.8921568627450981,974,103.0,871.0,0,,,,0.3516483516483517
2025-07-28,0.8823529411764706,782,89.0,693.0,0,,,,0.4111111111111111
2025-08-04,0.8923076923076924,973,127.0,846.0,0,,,,0.2672413793103448
2025-08-11,0.8571428571428571,906,166.0,740.0,0,,,,0.3968253968253968
2025-08-18,0.9523809523809523,1500,438.0,1062.0,0,,,,0.4107142857142857
2025-08-25,0.8735701384708007,5980,2067.0,3913.0,0,,,,0.23018607856650586
