date,Yamaha,BMW Motorrad,KTM,Triumph,Ducati
2025-03-02,,,,,
2025-03-03,,,,,
2025-03-04,69.66666666666667,3.3333333333333335,29.333333333333332,25.0,20.333333333333332
2025-03-05,69.75,3.5,27.75,25.0,19.75
2025-03-06,70.2,3.4,27.8,24.6,20.2
2025-03-07,70.83333333333333,3.1666666666666665,28.166666666666668,24.833333333333332,20.166666666666668
2025-03-08,73.0,3.4285714285714284,28.857142857142858,25.714285714285715,20.857142857142858
2025-03-09,72.71428571428571,3.2857142857142856,28.714285714285715,26.571428571428573,20.857142857142858
2025-03-10,73.71428571428571,3.2857142857142856,28.142857142857142,26.571428571428573,20.857142857142858
2025-03-11,74.42857142857143,3.142857142857143,28.0,25.857142857142858,20.142857142857142
2025-03-12,74.57142857142857,3.2857142857142856,28.285714285714285,25.571428571428573,20.428571428571427
2025-03-13,74.28571428571429,3.5714285714285716,28.142857142857142,25.428571428571427,19.714285714285715
2025-03-14,74.28571428571429,4.0,27.285714285714285,25.714285714285715,19.285714285714285
2025-03-15,73.57142857142857,4.0,27.142857142857142,25.428571428571427,19.428571428571427
2025-03-16,73.85714285714286,4.285714285714286,26.857142857142858,24.428571428571427,18.857142857142858
2025-03-17,74.57142857142857,4.428571428571429,26.714285714285715,24.571428571428573,19.285714285714285
2025-03-18,75.42857142857143,4.857142857142857,27.285714285714285,25.142857142857142,19.714285714285715
2025-03-19,75.57142857142857,4.571428571428571,28.0,25.428571428571427,19.857142857142858
2025-03-20,75.85714285714286,4.285714285714286,28.428571428571427,25.857142857142858,20.142857142857142
2025-03-21,75.85714285714286,3.857142857142857,29.142857142857142,25.0,20.571428571428573
2025-03-22,78.14285714285714,3.857142857142857,29.285714285714285,25.571428571428573,20.714285714285715
2025-03-23,77.71428571428571,3.7142857142857144,29.428571428571427,26.285714285714285,21.285714285714285
2025-03-24,77.57142857142857,3.7142857142857144,29.857142857142858,26.428571428571427,20.571428571428573
2025-03-25,76.42857142857143,3.2857142857142856,29.714285714285715,26.142857142857142,21.0
2025-03-26,76.57142857142857,3.2857142857142856,29.285714285714285,26.0,20.714285714285715
2025-03-27,76.14285714285714,3.4285714285714284,28.571428571428573,26.428571428571427,21.0
2025-03-28,75.57142857142857,3.857142857142857,28.142857142857142,26.714285714285715,20.857142857142858
2025-03-29,74.71428571428571,3.857142857142857,28.0,26.857142857142858,20.857142857142858
2025-03-30,74.71428571428571,4.0,28.571428571428573,27.0,21.428571428571427
2025-03-31,74.57142857142857,3.4285714285714284,28.428571428571427,26.428571428571427,22.0
2025-04-01,76.14285714285714,3.7142857142857144,28.285714285714285,26.571428571428573,21.714285714285715
2025-04-02,76.57142857142857,3.7142857142857144,27.857142857142858,26.571428571428573,22.142857142857142
2025-04-03,77.71428571428571,3.5714285714285716,28.142857142857142,26.714285714285715,22.571428571428573
2025-04-04,77.85714285714286,3.2857142857142856,28.428571428571427,27.571428571428573,23.285714285714285
2025-04-05,78.14285714285714,3.142857142857143,29.142857142857142,27.714285714285715,23.714285714285715
2025-04-06,79.14285714285714,2.857142857142857,29.571428571428573,28.285714285714285,24.142857142857142
2025-04-07,81.0,3.5714285714285716,30.0,29.285714285714285,24.714285714285715
2025-04-08,81.28571428571429,3.5714285714285716,30.142857142857142,29.857142857142858,25.714285714285715
2025-04-09,82.71428571428571,3.7142857142857144,30.857142857142858,30.0,26.0
2025-04-10,83.42857142857143,4.0,31.142857142857142,29.714285714285715,25.857142857142858
2025-04-11,84.42857142857143,4.285714285714286,31.285714285714285,29.428571428571427,26.428571428571427
2025-04-12,85.0,4.571428571428571,30.285714285714285,29.0,26.285714285714285
2025-04-13,85.71428571428571,5.0,29.714285714285715,28.428571428571427,25.571428571428573
2025-04-14,85.14285714285714,4.714285714285714,29.0,27.714285714285715,25.142857142857142
2025-04-15,83.71428571428571,4.714285714285714,29.285714285714285,27.428571428571427,24.142857142857142
2025-04-16,81.57142857142857,4.571428571428571,29.0,27.285714285714285,23.714285714285715
2025-04-17,80.14285714285714,4.285714285714286,28.571428571428573,27.142857142857142,23.285714285714285
2025-04-18,80.0,4.0,28.857142857142858,27.0,23.0
2025-04-19,79.85714285714286,3.857142857142857,29.428571428571427,26.428571428571427,23.285714285714285
2025-04-20,80.57142857142857,3.7142857142857144,29.857142857142858,25.571428571428573,23.285714285714285
2025-04-21,80.85714285714286,3.857142857142857,30.714285714285715,26.142857142857142,23.428571428571427
2025-04-22,81.28571428571429,3.7142857142857144,30.285714285714285,25.714285714285715,23.571428571428573
2025-04-23,81.71428571428571,3.7142857142857144,29.714285714285715,25.857142857142858,23.571428571428573
2025-04-24,82.57142857142857,3.857142857142857,30.285714285714285,26.0,23.857142857142858
2025-04-25,82.28571428571429,4.142857142857143,30.0,26.142857142857142,23.714285714285715
2025-04-26,82.0,3.857142857142857,29.571428571428573,26.142857142857142,22.857142857142858
2025-04-27,80.57142857142857,3.857142857142857,28.857142857142858,27.714285714285715,23.571428571428573
2025-04-28,79.42857142857143,3.857142857142857,29.0,27.428571428571427,23.571428571428573
2025-04-29,80.57142857142857,4.285714285714286,29.571428571428573,27.857142857142858,23.714285714285715
2025-04-30,81.14285714285714,5.142857142857143,30.142857142857142,27.857142857142858,23.714285714285715
2025-05-01,83.28571428571429,5.571428571428571,30.285714285714285,28.0,24.428571428571427
2025-05-02,85.71428571428571,5.571428571428571,30.714285714285715,28.428571428571427,24.428571428571427
2025-05-03,84.85714285714286,5.571428571428571,31.0,29.428571428571427,24.857142857142858
