source,target,weight,types,rating_avg,city
l12.pablo,@brio.life.jdm,2,ig_mention,,
l12.pablo,@brio_owners_club,2,ig_mention,,
l12.pablo,@brio_indonesia,2,ig_mention,,
l12.pablo,@brioid.catalogue,4,ig_mention,,
l12.pablo,@briogarage,2,ig_mention,,
l12.pablo,@brio.id,6,ig_mention,,
l12.pablo,@brio_concept,2,ig_mention,,
l12.pablo,@hondabriogallery,2,ig_mention,,
l12.pablo,@briomodifikasi,2,ig_mention,,
l12.pablo,@gdwill_,2,ig_mention,,
l12.pablo,@centro_ban_makassar,2,ig_mention,,
l12.pablo,@serbukracingteam,2,ig_mention,,
l12.pablo,@carstyle_sulawesi,4,ig_mention,,
l12.pablo,@cars_daily99,2,ig_mention,,
l12.pablo,@carstyle.indonesia,2,ig_mention,,
l12.pablo,@autoprojectindonesia,2,ig_mention,,
l12.pablo,@autonetmagz,2,ig_mention,,
l12.pablo,@ewakomotorsportmakassar,2,ig_mention,,
l12.pablo,@brio_variasi,2,ig_mention,,
l12.pablo,@zona.hondabrio,4,ig_mention,,
l12.pablo,@hobibrio,2,ig_mention,,
l12.pablo,@briospeed,2,ig_mention,,
l12.pablo,@brioportrait_,2,ig_mention,,
l12.pablo,@mkbphotoshoot,2,ig_mention,,
l12.pablo,@carstyleowner,2,ig_mention,,
l12.pablo,@garasihondabrio.id,2,ig_mention,,
l12.pablo,@racun_brio,2,ig_mention,,
l12.pablo,@hondamim,2,ig_mention,,
l12.pablo,@netizenmotorsportmakassar,2,ig_mention,,
l12.pablo,@briowonder,2,ig_mention,,
l12.pablo,@makassarstance,2,ig_mention,,
l12.pablo,@hndt_sticker,2,ig_mention,,
l12.pablo,@lowstyleindonesia,2,ig_mention,,
l12.pablo,@brionations.id,2,ig_mention,,
agatamotor.bekasi,@agatamotor.bekasi,2,ig_mention,,
fadhlan_motor,@fadhlan_motor,2,ig_mention,,
aydenw711,@awarecarclub,2,ig_mention,,
aydenw711,@hondameetcc,2,ig_mention,,
gudangcbr,@acclesia_motoshop,7,ig_mention,,
902.garage,@902part.project,2,ig_mention,,
902.garage,@gado2rider,2,ig_mention,,
one3motoshop,@abdu.one3motoshop13,2,ig_mention,,
one3motoshop,@aldo.one3motoshop,2,ig_mention,,
one3motoshop,@jmsone3motoshop,2,ig_mention,,
one3motoshop,@fui_one3motoshop,2,ig_mention,,
one3motoshop,@herman.one3motoshop,2,ig_mention,,
one3motoshop,@louis.one3motoshop,2,ig_mention,,
jakarta_motorsport,@jms.catalog,2,ig_mention,,
jakarta_motorsport,@jakarta_motorsport,2,ig_mention,,
jakarta_motorsport,@jakartabigbike,2,ig_mention,,
rajawali_autogallery_jaksel,@hsroriginal,3,ig_mention,,
rajawali_autogallery_jaksel,@rajawali_autogallery_jaksel,3,ig_mention,,
kebondivision,@sunwichofjoy,3,ig_mention,,
kebondivision,@hondawinadventure,2,ig_mention,,
6666garage,@6666garage,3,ig_mention,,
hondafest,@hondaseekonk,4,ig_mention,,
d_25si,@aerolutionofficial,2,ig_mention,,
premier_garage,@premier_garage,2,ig_mention,,
jazzpride.id,@withregram,2,ig_mention,,
jazzpride.id,@sevila.ge8,2,ig_mention,,
mj.snap5,@kr18m,6,ig_mention,,
civicvtec,@ismailcalismaz,2,ig_mention,,
lastmobil46,@lastmobil46,3,ig_mention,,
lastmobil46,@sanderf46ker,3,ig_mention,,
